date,latitude,longitude,number,expver,u10,v10,tp,u100,v100,si10,msr,msmr,ssr,es
19480401,34.24,75.24,0,0001,-0.78507555,-0.35386473,0.005995661,-1.2308254,0.05884888,1.2874632,5.956985e-05,6.635234e-05,7258725.0,-0.00013458083
19480501,34.24,75.24,0,0001,-0.7320443,-0.2539029,0.0013688318,-1.1460543,0.03618971,1.3903856,1.0635978e-05,0.0001129851,15262812.0,-0.0001860286
19480601,34.24,75.24,0,0001,-0.46311235,-0.07027894,0.0035440426,-0.7878613,0.13637775,1.169364,1.445733e-05,5.5344077e-05,17664012.0,-7.8389145e-05
19480701,34.24,75.24,0,0001,-0.20579457,-0.042664457,0.0046990886,-0.148992,-0.09153432,1.0459576,1.1652146e-06,0.00010484879,16402351.0,-1.1904463e-05
19480801,34.24,75.24,0,0001,0.08524865,0.16547537,0.005898591,0.19450992,0.26632845,1.1127806,3.4271033e-09,2.944567e-05,15501540.0,3.0135225e-06
19480901,34.24,75.24,0,0001,0.038954545,0.16851878,0.00205542,0.16539341,0.33168066,1.2379932,5.6037607e-06,4.6197347e-06,17362456.0,-6.9866346e-06
19481001,34.24,75.24,0,0001,-0.2186842,0.044737447,0.002272686,-0.19738615,0.2255882,1.2250166,1.7943792e-05,2.849628e-06,13108097.0,-1.9326966e-05
19481101,34.24,75.24,0,0001,-1.3376665,-0.8195761,0.00044310465,-1.8669615,-0.49694836,1.8578243,5.0877206e-06,2.7933502e-06,4741834.0,-0.00014341896
19481201,34.24,75.24,0,0001,-0.87454444,-0.40133494,0.008098889,-1.3493185,0.25452965,1.4617128,9.358977e-05,7.397455e-08,1931736.0,-2.998927e-05
19490101,34.24,75.24,0,0001,-1.0132494,-0.60718155,0.0067147464,-1.5426092,-0.055324752,1.6435204,7.7509074e-05,1.0739317e-08,2154819.0,-1.1339363e-05
19490201,34.24,75.24,0,0001,-0.90951794,-0.45881355,0.0074265786,-1.445262,0.08192718,1.4540939,8.562159e-05,2.3566834e-08,2937289.0,-2.5238027e-05
19490301,34.24,75.24,0,0001,-0.7096404,-0.2671045,0.0059766807,-1.0036907,0.39139873,1.2559595,6.809985e-05,3.0013534e-06,3623130.0,-5.8322577e-05
19490401,34.24,75.24,0,0001,-0.8765864,-0.52577746,0.0019443952,-1.3477087,-0.26762646,1.43431,1.9774583e-05,8.452342e-05,9342818.0,-0.0001968521
19490501,34.24,75.24,0,0001,-0.6354545,-0.23638004,0.0013490694,-0.9646576,0.05136016,1.2749271,8.670577e-06,0.00014653875,15189113.0,-0.00014165159
19490601,34.24,75.24,0,0001,-0.3951413,0.037148345,0.0035802138,-0.5718335,0.34894204,1.1791906,1.3381238e-05,6.9236194e-05,17693296.0,-7.236378e-05
19490701,34.24,75.24,0,0001,-0.10226953,0.08970982,0.0044658184,-0.033008542,0.17605656,1.0354996,2.2618877e-07,8.835072e-05,16429813.0,-1.2107761e-05
19490801,34.24,75.24,0,0001,0.28867042,0.22139233,0.004250955,0.47596473,0.35708457,1.149662,0.0,0.0,18028376.0,-1.8626451e-09
19490901,34.24,75.24,0,0001,0.14485526,0.25243193,0.0021209486,0.34258628,0.6046243,1.314476,7.808304e-06,1.5338846e-06,17213100.0,-2.3771963e-06
19491001,34.24,75.24,0,0001,-0.34508896,0.21878242,0.0009048281,-0.38803828,0.53577405,1.4353104,7.737366e-06,6.8567424e-06,13149300.0,-4.1478503e-05
19491101,34.24,75.24,0,0001,-0.6780435,-0.15180415,0.0016554785,-0.9110959,0.39279723,1.2597075,1.8615057e-05,2.7307651e-06,7464868.0,-5.131986e-05
19491201,34.24,75.24,0,0001,-1.1077967,-0.76657885,0.002301489,-1.4762716,-0.37066638,1.7583828,2.6619353e-05,1.2737922e-07,2531066.0,-1.8859486e-05
19500101,34.24,75.24,0,0001,-0.8241715,-0.3437742,0.0092791915,-1.1245766,0.59538436,1.5320845,0.000106890744,1.5273696e-07,2213701.0,-1.4664333e-05
19500201,34.24,75.24,0,0001,-0.99421185,-0.6118654,0.0037071821,-1.4944639,-0.19249034,1.6655035,4.2753236e-05,0.0,3605309.0,-1.921448e-05
19500301,34.24,75.24,0,0001,-0.76519895,-0.33934516,0.0048837364,-1.1875906,0.09057367,1.2706833,5.5773286e-05,2.0169418e-06,4250565.0,-7.679722e-05
19500401,34.24,75.24,0,0001,-0.6130813,-0.18987036,0.0061562397,-0.8238191,0.49237186,1.2409277,6.845035e-05,2.381239e-05,6249930.0,-0.00014103463
19500501,34.24,75.24,0,0001,-0.6747443,-0.2284463,0.003020044,-0.99857235,0.07081902,1.1825066,2.3133398e-05,0.00017542545,11811275.0,-0.00017476358
19500601,34.24,75.24,0,0001,-0.4787646,-0.14294666,0.0016644911,-0.78612435,-0.07666248,1.159728,7.371253e-07,8.503816e-05,19802334.0,-0.00010478603
19500701,34.24,75.24,0,0001,-0.07457137,0.08302897,0.0051128753,0.039022177,0.16627681,1.0635386,2.7416824e-08,6.8061476e-05,16367530.0,-1.0426837e-05
19500801,34.24,75.24,0,0001,0.14857256,0.17340934,0.005681634,0.2647897,0.29797697,1.1817245,6.8542043e-09,0.0,16894184.0,3.259629e-09
19500901,34.24,75.24,0,0001,-0.020216562,0.2256574,0.0020854594,0.043598067,0.44486153,1.3540983,2.3293896e-06,2.107522e-06,17986520.0,-2.6321904e-06
19501001,34.24,75.24,0,0001,-0.50277144,-0.13651884,0.002365721,-0.74214196,0.010110926,1.4215307,2.2961365e-05,9.92853e-06,11172674.0,-6.381959e-05
19501101,34.24,75.24,0,0001,-1.188076,-0.6492029,0.0030856675,-1.853241,-0.32247865,1.7004604,3.5245946e-05,1.465457e-06,5747025.0,-4.9941926e-05
19501201,34.24,75.24,0,0001,-0.95112497,-0.6205153,0.0039487854,-1.3585329,-0.012752123,1.6115808,4.544713e-05,1.14224804e-07,2169406.0,-8.4198143e-07
19510101,34.24,75.24,0,0001,-0.9184659,-0.4884833,0.0056834333,-1.3429098,0.21223205,1.5120239,6.566201e-05,1.9688748e-08,2222923.0,-8.675417e-06
19510201,34.24,75.24,0,0001,-0.7370558,-0.36042023,0.0048567466,-0.8364212,0.5183958,1.4539356,5.5899858e-05,2.079251e-07,2979755.0,-1.7874889e-05
19510301,34.24,75.24,0,0001,-0.7990744,-0.41101635,0.005875718,-1.2146883,-0.02408202,1.3219929,6.7034154e-05,2.371692e-06,4127988.0,-5.8366597e-05
19510401,34.24,75.24,0,0001,-0.6419098,-0.27510768,0.0038458707,-0.97391903,0.06291574,1.1972084,4.2071755e-05,2.2266468e-05,6320567.0,-0.0001517917
19510501,34.24,75.24,0,0001,-0.90423787,-0.42368823,0.0036037043,-1.5358143,-0.29375422,1.3275537,3.2246564e-05,0.00014375194,10377673.0,-0.00017474528
19510601,34.24,75.24,0,0001,-0.5011307,-0.15379256,0.002421227,-0.85037816,-0.048149705,1.1500273,1.3450513e-05,6.7636254e-05,17419984.0,-0.00010390057
19510701,34.24,75.24,0,0001,-0.27710783,0.043948665,0.0023505152,-0.3158883,0.23297781,1.0980806,1.980865e-06,9.185485e-05,17671968.0,-4.957324e-05
19510801,34.24,75.24,0,0001,0.024493918,0.2396766,0.0028464247,0.17447013,0.41637206,1.1931772,1.8026558e-06,5.553277e-05,16334081.0,3.319764e-06
19510901,34.24,75.24,0,0001,0.04132428,0.15010345,0.001268425,0.18582249,0.30555588,1.357173,2.2060112e-06,2.2773847e-06,19036288.0,2.4446194e-08
19511001,34.24,75.24,0,0001,-0.2775483,0.0800035,0.0008809401,-0.3131492,0.19586313,1.4198856,6.020722e-06,1.0937192e-06,14113509.0,-1.9773623e-05
19511101,34.24,75.24,0,0001,-0.8484287,-0.40293658,0.0014898586,-1.0764093,-0.0008082867,1.5516434,1.6827456e-05,1.9818945e-06,6255215.0,-6.287273e-05
19511201,34.24,75.24,0,0001,-1.1363096,-0.7341231,0.003502766,-1.5057507,-0.29838562,1.7344961,3.9983148e-05,5.894995e-07,3367088.0,-7.608488e-05
19520101,34.24,75.24,0,0001,-1.1217432,-0.70105016,0.003178477,-1.6812229,-0.23670417,1.6933889,3.6712663e-05,2.0911835e-07,2467342.0,-1.0166558e-05
19520201,34.24,75.24,0,0001,-0.78556013,-0.4036023,0.005276751,-1.0724201,0.2514518,1.3542595,6.035737e-05,4.6437708e-07,3072477.0,-2.4901354e-05
19520301,34.24,75.24,0,0001,-0.798247,-0.39666474,0.0071799643,-1.2379026,-0.015199959,1.3301525,8.232352e-05,1.5296055e-06,3648903.0,-5.863665e-05
19520401,34.24,75.24,0,0001,-0.8412423,-0.4873023,0.0023470654,-1.274519,-0.3319565,1.3519173,2.0987252e-05,4.832889e-05,7304126.0,-8.9970636e-05
19520501,34.24,75.24,0,0001,-0.6728074,-0.26516426,0.0021346766,-0.9832597,-0.046227187,1.2062416,1.4138651e-05,0.00010629084,12721030.0,-0.0001453127
19520601,34.24,75.24,0,0001,-0.39437407,-0.12462354,0.0019622666,-0.57721233,-0.11332953,1.1521025,5.9705e-06,7.175865e-05,19082760.0,-0.000104731225
19520701,34.24,75.24,0,0001,0.08702183,0.29124576,0.004289098,0.24835908,0.44961423,1.1094923,2.536056e-07,6.40457e-05,16984576.0,-5.461071e-06
19520801,34.24,75.24,0,0001,0.25647455,0.28548235,0.0051796064,0.432222,0.43843085,1.1716833,1.3708412e-08,0.0,17237748.0,7.21775e-09
19520901,34.24,75.24,0,0001,0.008528512,0.1313917,0.001560875,0.13476753,0.27797347,1.3871746,3.7459722e-06,3.550479e-06,18207744.0,-3.1527024e-06
19521001,34.24,75.24,0,0001,-0.25699592,0.08013284,0.0009142072,-0.30874652,0.1925193,1.3317146,6.640591e-06,3.937648e-06,13199311.0,-5.690822e-05
19521101,34.24,75.24,0,0001,-0.7841737,-0.3606581,0.0020029997,-0.91529495,0.17418802,1.4549112,2.2709326e-05,1.2266792e-06,5500393.0,-6.011034e-05
19521201,34.24,75.24,0,0001,-1.0556507,-0.6118974,0.003753092,-1.5811481,-0.11492056,1.6010828,4.3352993e-05,8.7638114e-08,2400013.0,-1.3559111e-05
19530101,34.24,75.24,0,0001,-1.1381426,-0.7624978,0.002285641,-1.7319613,-0.5082311,1.7107363,2.6454785e-05,0.0,2652403.0,-1.0003424e-05
